Part Number,Manufacturer,Description
1095,MAPCO,Urn
1097,MAPCO,Urn
1158,MAPCO,Urn
1177,Collins Aerospace,Oven
1361,Collins Aerospace,Oven
1398,Collins Aerospace,Oven
1543,Safran ,Oven
9756,Adams Rite,Faucet
9810,Adams Rite,Faucet
9819,Adams Rite,Faucet
9824,Adams Rite,Faucet
50047,Collins Aerospace ,Oven
50286,Collins Aerospace ,Oven
50304,Collins Aerospace ,Water Heater
61073,Safran ,Oven
61120,Safran ,Oven
62216,Safran ,Water Boiler
64752,Safran ,Coffee Maker
64753,Safran ,Coffee Maker
64754,Safran ,Coffee Maker
64761,Safran ,Coffee Maker
64763,Safran ,Coffee Maker
67063,Safran ,Oven
67241,Safran ,Oven
67254,Safran ,Oven
611515,Collins Aerospace ,Oven Control Module
611993,Collins Aerospace ,Oven Control Module
611994,Collins Aerospace ,Oven Control Module
72011210,Collins Aerospace ,Coffee Maker
72011240,Collins Aerospace ,Coffee Maker
72012400,Collins Aerospace ,Coffee Maker
72012410,Collins Aerospace ,Coffee Maker
72012420,Collins Aerospace ,Coffee Maker
72015727,Collins Aerospace ,Coffee Maker
72015728,Collins Aerospace ,Coffee Maker
72063000,Collins Aerospace ,Oven
72063100,Collins Aerospace ,Oven
72064050,Collins Aerospace ,Oven
72064051,Collins Aerospace ,Oven
72064060,Collins Aerospace ,Oven
72064061,Collins Aerospace ,Oven
72064063,Collins Aerospace ,Oven
72067000,Collins Aerospace ,Oven
72067001,Collins Aerospace ,Oven
72067002,Collins Aerospace ,Oven
72067003,Collins Aerospace ,Oven
72067004,Collins Aerospace ,Oven
72067005,Collins Aerospace ,Oven
72067006,Collins Aerospace ,Oven
72067100,Collins Aerospace ,Oven
72067101,Collins Aerospace ,Oven
72067102,Collins Aerospace ,Oven
72067750,Collins Aerospace ,Oven
72067752,Collins Aerospace ,Oven
72067850,Collins Aerospace ,Oven
72071006,Collins Aerospace ,Oven
72073000,Collins Aerospace ,Oven
72073100,Collins Aerospace ,Oven
72073750,Collins Aerospace ,Oven
72073850,Collins Aerospace ,Oven
72180131,Collins Aerospace ,Water Boiler
72180132,Collins Aerospace ,Water Boiler
72180133,Collins Aerospace ,Water Boiler
72180134,Collins Aerospace ,Water Boiler
72180135,Collins Aerospace ,Water Boiler
72180137,Collins Aerospace ,Water Boiler
72180138,Collins Aerospace ,Water Boiler
72184100,Collins Aerospace ,Water Boiler
72184101,Collins Aerospace ,Water Boiler
72184105,Collins Aerospace ,Water Boiler
72184106,Collins Aerospace ,Water Boiler
72184108,Collins Aerospace ,Water Boiler
72184109,Collins Aerospace ,Water Boiler
72184110,Collins Aerospace ,Water Boiler
72184113,Collins Aerospace ,Water Boiler
72184115,Collins Aerospace ,Water Boiler
72184117,Collins Aerospace ,Water Boiler
5980402100100,Adams Rite,LWSA IR Faucet
5980402101100,Adams Rite,LWSA IR Faucet
5980402101110,Adams Rite,Faucet Assy
5980552100100,Adams Rite,LWSA IR Faucet
0004.1.000/1,Collins Aerospace ,Oven
0004.4.000,Collins Aerospace ,Oven
0008.1.000/8,Collins Aerospace ,Water Boiler
0008.1.000/9,Collins Aerospace ,Water Boiler
0008.1.000/9A,Collins Aerospace ,Water Boiler
001001,Collins Aerospace ,Coffee Container
0013-1-000,Collins Aerospace ,Water Boiler
0013-1-000-1      ,Collins Aerospace ,Water Boiler
0013-1-000-1B     ,Collins Aerospace ,Water Boiler
0104.1.000,Collins Aerospace ,Oven
0104.1.000/1,Collins Aerospace ,Oven
0104.4.000,Collins Aerospace ,Oven
0113-1-000-1,Collins Aerospace ,Water Boiler
0113-1-000-1B      ,Collins Aerospace ,Water Boiler
0213-1-000-B      ,Collins Aerospace ,Water Boiler
022-1-000-1      ,Collins Aerospace ,Water Boiler
022-1-000-1B      ,Collins Aerospace ,Water Boiler
0304.1.000,Collins Aerospace ,Oven
0304.1.000/1,Collins Aerospace ,Oven
0304.4.000,Collins Aerospace ,Oven
0404.1.000/1,Collins Aerospace ,Oven
0404.4.000,Collins Aerospace ,Oven
042-1-000-1      ,Collins Aerospace ,Water Boiler
062-1-000-1     ,Collins Aerospace ,Water Boiler
0704-1-000/1,Collins Aerospace ,Oven
072-1-000-1      ,Collins Aerospace ,Water Boiler
0804-1-000/1,Collins Aerospace ,Oven
0FX0000A02G03,JAMCO,Faucet
0FX00100A09G03,JAMCO,Faucet Assembly
0FX0100A11G03,JAMCO,Faucet Assembly
0FX0100A15G03,JAMCO,Faucet Assembly
0FX0100A17G03,JAMCO,Faucet Assembly
100-10-610-02,Adams Rite,Thermostat Assy
100-10-611-02,Adams Rite,Faucet
100-20-287,Adams Rite,Thermostat Assy
100-20-575,Adams Rite,Thermostat Assy
1004.1.000/1,Collins Aerospace ,Oven
1004.4.000,Collins Aerospace ,Oven
101009-7.2,Safran ,Water Boiler
101009-7.3,Safran ,Water Boiler
1010099.6,Safran ,Water Boiler
1010099-10,Safran ,Water Heater
1010099-10.1,Safran ,Water Heater
1010099-10.2,Safran ,Water Heater
1010099-10.3,Safran ,Water Heater
1010099-10.4,Safran ,Water Heater
1010099-12,Safran ,Water Boiler
1010099-12.1,Safran ,Water Boiler
1010099-12.2,Safran ,Water Boiler
1010099-12.3,Safran ,Water Heater
1010099-13,Safran ,Water Boiler
1010099-16,Safran ,Water Boiler
1010099-16.1,Safran ,Water Boiler
1010099-17,Safran ,Water Heater
1010099-18,Safran ,Water Boiler
1010099-6.1,Safran ,Water Boiler
1010099-6.2,Safran ,Water Boiler
1010099-6.3,Safran ,Water Boiler
1010099-7,Safran ,Water Boiler
1010099-8,Safran ,Water Heater
1010099-8.1,Safran ,Water Heater
1010099-9,Safran ,Water Boiler
1095-200,MAPCO,Urn
1095-200A,MAPCO,Urn
1095-200B,MAPCO,Urn
1095-30A,MAPCO,Urn
1095A (was 1095B),MAPCO,Urn
1095A(BR),MAPCO,Urn
1095A-40A,MAPCO,Urn
1095BC,MAPCO,Urn
1095C,MAPCO,Urn
1095D,MAPCO,Urn
1095E,MAPCO,Urn
1095F,MAPCO,Urn
1095IW,MAPCO,Urn
1097A,MAPCO,Urn
1097B,MAPCO,Urn
1097C,MAPCO,Urn
1104.1.000,Collins Aerospace ,Oven
1104.1.000/1,Collins Aerospace ,Oven
1104.4.000,Collins Aerospace ,Oven
11050-11,Collins Aerospace ,Coffee Maker
11160-1,Collins Aerospace ,Rail Assembly
11160-5,Collins Aerospace ,Rail Assembly
11225-1,Collins Aerospace ,Coffee Maker
11225-3,Collins Aerospace ,Coffee Maker
11225-31,Collins Aerospace ,Coffee Maker
11276-1,Collins Aerospace ,Coffee Maker
11276-3,Collins Aerospace ,Coffee Maker
1158A,MAPCO,Urn
1158B,MAPCO,Urn
1201-01-00,Collins Aerospace ,Coffee Maker
1205CLH,MAPCO,Oven
1205CRH,MAPCO,Oven
1205LH,MAPCO,Oven
1205RH,MAPCO,Oven
1221-1-000-1   ,Collins Aerospace ,Coffee Maker
1250,MAPCO,Liq Cont-Warming Oven
1250A,MAPCO,Liq Cont-Warming Oven
1259LH,MAPCO,Oven
1259RH,MAPCO,Oven
1304.1.000,Collins Aerospace ,Oven
1304.1.000/1,Collins Aerospace ,Oven
1304.4.000,Collins Aerospace ,Oven
1321-1-000-1   ,Collins Aerospace ,Coffee Maker
1400-01-00   ,Collins Aerospace ,Coffee Maker
1401-01-00   ,Collins Aerospace ,Coffee Maker
1403D,Safran ,Water Boiler
1404.1.000/1,Collins Aerospace ,Oven
1404.4.000,Collins Aerospace ,Oven
1421-1-000-1   ,Collins Aerospace ,Coffee Maker
1430E,Safran ,Oven
1432,Safran ,Oven
1432-13M-OH,Safran ,Oven
1432-I-OH,Safran ,Oven
1432-IR,Safran ,Oven
1432-J1-OH,Safran ,Oven
1432-J-OH,Safran ,Oven
1432-S-OH,Safran ,Oven
1440-A10-T1M,Safran ,Coffee Maker
1448,Safran ,Coffee Maker
1448-1,Safran ,Coffee Maker
1448-3,Safran ,Coffee Maker
1448-4,Safran ,Coffee Maker
1521-1-000-1   ,Collins Aerospace ,Coffee Maker
1536-F-1,Safran ,Oven
1536-F-1A,Safran ,Oven
1539,Safran ,Oven
1539 Mod N,Safran ,Oven
1539-13M-OH,Safran ,Oven
1539-14M-OH,Safran ,Oven
1539-15M-OH,Safran ,Oven
1539-16M-OH,Safran ,Oven
1539-17M-OH,Safran ,Oven
1539-A,Safran ,Oven
1539-A-OH,Safran ,Oven
1539-B-OH,Safran ,Oven
1539-IM,Safran ,Oven
1539-IM-OH,Safran ,Oven
1539-IM-OH-A,Safran ,Oven
1539-IM-OH-B,Safran ,Oven
1539-IM-OH-C,Safran ,Oven
1539-J2M-OH,Safran ,Oven
1539-N-OH,Safran ,Oven
1539-P-OH,Safran ,Oven
1545-10 LEFT,Safran ,Oven
1545-10 RIGHT,Safran ,Oven
1545-10-A,Safran ,Oven
1545-3,Safran ,Oven
1545-4,Safran ,Oven
1545-5,Safran ,Oven
1545-5-D LEFT,Safran ,Oven
1545-5-D RIGHT,Safran ,Oven
1545-6,Safran ,Oven
1545-6-D LEFT,Safran ,Oven
1545-6-D RIGHT,Safran ,Oven
1545-9 LEFT,Safran ,Oven
1545-9 RIGHT,Safran ,Oven
1545-9-A,Safran ,Oven
1591M,Collins Aerospace ,Oven
1592M,Collins Aerospace ,Oven
1602,Safran ,Coffee Maker
1602-AC,Safran ,Coffee Maker
1602-AC-A,Safran ,Coffee Maker
1602-DC,Safran ,Coffee Maker
1602-DC-A,Safran ,Coffee Maker
1704-1-000/1,Collins Aerospace ,Oven
1721-1-000-1   ,Collins Aerospace ,Coffee Maker
180-140,Collins Aerospace ,Liquid Container
180-140B,Collins Aerospace ,Liquid Container
180-146,Collins Aerospace ,Liquid Container
180-146ANA,Collins Aerospace ,Liquid Container
180-146B,Collins Aerospace ,Liquid Container
180-146BJAS,Collins Aerospace ,Liquid Container
180-146BJAS-OT,Collins Aerospace ,Liquid Container
180-146G,Collins Aerospace ,Liquid Container
180-146NS,Collins Aerospace ,Liquid Container
180-146-OT,Collins Aerospace ,Liquid Container
180-147,Collins Aerospace ,Liquid Container
180-147B,Collins Aerospace ,Liquid Container
1804-1-000/1,Collins Aerospace ,Oven
1821-1-000-1   ,Collins Aerospace ,Coffee Maker
1A081-0212-1,Yokohama,Faucet & Drain Assy
1A081-0212-11,Yokohama,Faucet & Drain Assy
1A082-0213-1,Yokohama,Faucet Assembly
1A082-0213-11,Yokohama,Faucet Assembly
2021-1-000-1   ,Collins Aerospace ,Coffee Maker
206-362,Collins Aerospace ,Oven 
206A,Collins Aerospace ,Oven
206A-LH-115,Collins Aerospace ,Oven
206A-LH-115-2P,Collins Aerospace ,Oven
206A-LH-28,Collins Aerospace ,Oven
206A-LH-28/115,Collins Aerospace ,Oven
206A-RH-115,Collins Aerospace ,Oven
206A-RH-28,Collins Aerospace ,Oven
206A-RH-28/115,Collins Aerospace ,Oven
206B-LH-28/115,Collins Aerospace ,Oven
206B-RH-28/115,Collins Aerospace ,Oven
2113-1-000-1   ,Collins Aerospace ,Water Boiler
24E507009G01,Goodrich,Toilet Water Heater
24E507009G02,Goodrich,Toilet Water Heater
24E507009G03,Goodrich,Toilet Water Heater
24E507040G01,Goodrich,Toilet Water Heater
24E507040G02,Goodrich,Toilet Water Heater
24E507040G03,Goodrich,Toilet Water Heater
24E507040G04,Goodrich,Toilet Water Heater
24E507040G05,Goodrich,Toilet Water Heater
24E507040G06,Goodrich,Toilet Water Heater
24E508198G01,Goodrich,Water Boiler
2510-0004-01,Collins Aerospace ,Oven
2510-0004-03,Collins Aerospace ,Oven
2510-0004-05,Collins Aerospace ,Oven
2510-0004-11,Collins Aerospace ,Oven
2510-0032-01,Collins Aerospace ,Oven
2510-0032-02,Collins Aerospace ,Oven
2510-0032-03,Collins Aerospace ,Oven
2510-0032-04,Collins Aerospace ,Oven
2510-0032-05,Collins Aerospace ,Oven
2510-0032-06,Collins Aerospace ,Oven
2510-0032-07,Collins Aerospace ,Oven
2510-0032-08,Collins Aerospace ,Oven
2510-0032-09,Collins Aerospace ,Oven
2510-0037-01,Collins Aerospace ,Oven
2510-0037-02,Collins Aerospace ,Oven
2510-0037-03,Collins Aerospace ,Oven
2510-0037-04,Collins Aerospace ,Oven
255-162,Collins Aerospace ,Oven
255A-LH-115,Collins Aerospace ,Oven
255A-LH-28,Collins Aerospace ,Oven
255A-LH-28/115,Collins Aerospace ,Oven
255A-LH-28-2P,Collins Aerospace ,Oven
255A-RH-115,Collins Aerospace ,Oven
255A-RH-28,Collins Aerospace ,Oven
255A-RH-28/115,Collins Aerospace ,Oven
255B-LH-115,Collins Aerospace ,Oven
255B-LH-28/115,Collins Aerospace ,Oven
255B-RH-115,Collins Aerospace ,Oven
255B-RH-28/115,Collins Aerospace ,Oven
255D-LH-115,Collins Aerospace ,Oven
255D-LH-28/115,Collins Aerospace ,Oven
255D-RH-115,Collins Aerospace ,Oven
255D-RH-28/115,Collins Aerospace ,Oven
262001-11,Collins Aerospace ,Rail Assembly
2704-1-000/1,Collins Aerospace ,Oven
2804-1-000/1,Collins Aerospace ,Oven
2863,Adams Rite,Latch Assy
2863-1051,Adams Rite,Latch Assy
2863-2,Adams Rite,Latch Assy
2863-5,Adams Rite,Latch Assy
2863B,Adams Rite,Latch Assy
2863B2,Adams Rite,Latch Assy
2863D562,Adams Rite,Latch Assy
2863D74,Adams Rite,Latch Assy
2895,Adams Rite,Latch Assy
2895-1053,Adams Rite,Latch Assy
2895-2,Adams Rite,Latch Assy
2895B,Adams Rite,Latch Assy
2895B2,Adams Rite,Latch Assy
29-4075-21-02,Adams Rite,Faucet Timer Assy
297-140,Collins Aerospace,Urn
297-146,Collins Aerospace,Urn
297-200,Collins Aerospace,Urn
2980032100000,Adams Rite,Faucet
2980032100100,Adams Rite,Faucet
2980042100000,Adams Rite,Faucet
2980042100100,Adams Rite,Faucet
2980052100000,Adams Rite,Faucet
2980052100100,Adams Rite,Faucet
2980092100000,Adams Rite,Faucet
2980102100000,Adams Rite,Faucet
2980132100000,Adams Rite,Faucet
2980132100100,Adams Rite,Faucet
2980142100000,Adams Rite,Faucet
2980142100100,Adams Rite,Faucet
2980152100000,Adams Rite,Faucet
2980152100100,Adams Rite,Faucet
2980192100000,Adams Rite,Faucet
2980192100000 AMENDT B,Adams Rite,Faucet
2980192100000 AMENDT C,Adams Rite,Faucet
298019210000003,Adams Rite,Faucet
298019210000004,Adams Rite,Faucet
2980192100100,Adams Rite,Faucet
2980202100000,Adams Rite,Faucet
2980212100000,Adams Rite,Faucet
2980292100000,Adams Rite,Faucet
2980292100100,Adams Rite,Faucet
2980302100000,Adams Rite,Faucet
2980302100100,Adams Rite,Faucet
2980312100000,Adams Rite,Faucet
2980322100000,Adams Rite,Faucet
2980332100000,Adams Rite,Faucet
2980332100100,Adams Rite,Faucet
2980342100000,Adams Rite,Faucet
2980342100100,Adams Rite,Faucet
2980352100100,Adams Rite,Lavatory Water Faucet
2980362100100,Adams Rite,Lavatory Water Faucet
2980372100000,Adams Rite,Faucet Assembly
2980372100000 AMDT C,Adams Rite,Faucet Assembly
2980372100100,Adams Rite,Faucet Assembly
2980372100100 AMDT A,Adams Rite,Faucet Assembly
2980382100100,Adams Rite,Lavatory Water Faucet
2980392100000,Adams Rite,Faucet Assembly
2980422100000,Adams Rite ,Faucet Assembly
2980432100000,Adams Rite ,Faucet Assembly
2980432100000 AMDT C,Adams Rite ,Faucet Assembly
2980432100100,Adams Rite ,Faucet Assembly
2980432100100 AMDT A,Adams Rite ,Faucet Assembly
2980462100000,Adams Rite ,Faucet Assembly
2980502100000,Aqua Butze Werke,Faucet Assembly
3013-1-000-1      ,Collins Aerospace ,Water Boiler
306-116,Collins Aerospace,Liquid Container
306-116B,Collins Aerospace,Liquid Container
306-140,Collins Aerospace,Liquid Container
306-140B,Collins Aerospace,Liquid Container
306-146,Collins Aerospace,Liquid Container
306-146B,Collins Aerospace,Liquid Container
306-146BLT,Collins Aerospace,Liquid Container
3213-1-000-1     ,Collins Aerospace ,Water Boiler
3510-0016-01,Collins Aerospace ,Coffee Maker
3510-0016-03,Collins Aerospace ,Coffee Maker
3510-0030-01,Collins Aerospace,Beverage Maker
3510-0032-01,Collins Aerospace,Coffee Maker
3510-0034-01,Collins Aerospace ,Coffee Maker
3510-0039-01,Collins Aerospace ,Coffee Maker
3510-0039-03,Collins Aerospace ,Coffee Maker
3510-0040-01,Collins Aerospace ,Water Boiler
3510-0040-03,Collins Aerospace ,Water Boiler
3510-0040-05,Collins Aerospace ,Water Boiler
3510-0041-03,Collins Aerospace ,Coffee Maker
3510-0044-01,Collins Aerospace ,Coffee Maker
3510-0044-03,Collins Aerospace ,Coffee Maker
3510-0044-05,Collins Aerospace ,Coffee Maker
3510-0044-07,Collins Aerospace ,Coffee Maker
3510-0044-09,Collins Aerospace ,Coffee Maker
3510-0044-11,Collins Aerospace ,Coffee Maker
3510-0044-13,Collins Aerospace ,Coffee Maker
3510-0050-01,Collins Aerospace ,Coffee Maker
3510-0050-03,Collins Aerospace ,Coffee Maker
3510-0052-01,Collins Aerospace ,Coffee Maker
3510-0053-01,Collins Aerospace ,Coffee Maker
3510-0056-03,Collins Aerospace ,Expresso Coffee Maker
3510-0056-05,Collins Aerospace ,Expresso Coffee Maker
3510-0058-01,Collins Aerospace ,Coffee Maker
3510-0066-01,Collins Aerospace ,Coffee Maker
3510-0070-01,Collins Aerospace ,Coffee Maker
3510-0072-01,Collins Aerospace ,Coffee Maker
3704-1-000/1,Collins Aerospace ,Oven
3804-1-000/1,Collins Aerospace ,Oven
3G906-9999-000,IPECO,Water Boiler
3G909-9999-000,IPECO,Rapid Water Boiler
3G909-9999-015,IPECO,Rapid Water Boiler
400-0001-103,Collins Aerospace,Water Boiler
400-0001-105,Collins Aerospace,Water Boiler
400-0001-109,Collins Aerospace,Water Boiler
400-0001-111,Collins Aerospace,Water Boiler
400-0929-01,Safran ,Oven Control Module
400-0929-02,Safran ,Oven Control Module
400-0929-03,Safran ,Oven Control Module
400-0929-04,Safran ,Oven Control Module
400-1198-01,Safran ,Oven
400-1218-01,Safran ,Oven
400-1317-01-L,Safran ,Oven
400-1317-01-R,Safran ,Oven
400-1338-01-L,Safran ,Microwave Oven
400-1338-01-R,Safran ,Microwave Oven
400-1338-02-L,Safran ,Microwave Oven
400-1338-02-L-N,Safran ,Microwave Oven
400-1338-02-R,Safran ,Microwave Oven
400-1338-02-R-N,Safran ,Microwave Oven
400-1338-03-R,Safran ,Microwave Oven
400-1371-01-L,Safran ,Oven
400-1371-01-R,Safran ,Oven
400-1377-01,Safran ,Oven Control Module
400-1377-02,Safran ,Oven Control Module
400-1377-03,Safran ,Oven Control Module
400-1377-04,Safran ,Oven Control Module
400-1398-01-L,Safran ,Oven
400-1398-01-R,Safran ,Oven
400-1399-01-L,Safran ,Oven
400-1399-01-R,Safran ,Oven
400-1409-01-L,Safran ,Microwave Oven
400-1409-01-R,Safran ,Microwave Oven
400-1409-02-L,Safran ,Microwave Oven
400-1409-02-L-N,Safran ,Microwave Oven
400-1409-02-R,Safran ,Microwave Oven
400-1409-02-R-N,Safran ,Microwave Oven
400-1549-01-L,Safran ,Oven
400-1549-01-R,Safran ,Oven
400-1550-01-L,Safran ,Oven
400-1550-01-R,Safran ,Oven
400-1629-01-L,Safran ,Oven
400-1629-01-R,Safran ,Oven
400-1630-01-L,Safran ,Oven
400-1630-01-R,Safran ,Oven
400-1670-01-L,Safran ,Oven
400-1670-01-R,Safran ,Oven
400-1672-01-L,Safran ,Oven
400-1672-01-R,Safran ,Oven
400-1726-01-L,Safran ,Microwave Oven
400-1742-01,Safran ,Oven Control Module
400-1742-02,Safran ,Oven Control Module
400-1744-01,Safran ,Microwave Oven
400-1746-02-L,Safran ,Microwave Oven
400-1746-02-R,Safran ,Microwave Oven
400-1794-01,Safran ,Coffee Maker
400-1794-02,Safran ,Coffee Maker
400-1794-03,Safran ,Coffee Maker
400-1794-04,Safran ,Coffee Maker
400-1794-05,Safran ,Coffee Maker
400-1794-06,Safran ,Coffee Maker
400-1794-07,Safran ,Coffee Maker
400-1794-08,Safran ,Coffee Maker
400-1794-09,Safran ,Coffee Maker
400-1794-10,Safran ,Coffee Maker
400-1794-11,Safran ,Coffee Maker
400-1794-12,Safran ,Coffee Maker
400-1794-13,Safran ,Coffee Maker
400-1794-14,Safran ,Coffee Maker
400-1794-15,Safran ,Coffee Maker
400-1860-01,Safran ,Microwave Oven
400-1860-02,Safran ,Microwave Oven
400-1907-01,Safran ,Coffee Maker
400-1907-02,Safran ,Coffee Maker
400-1907-03,Safran ,Coffee Maker
400-1907-04,Safran ,Coffee Maker
400-1907-05,Safran ,Coffee Maker
400-1907-06,Safran ,Coffee Maker
400-1907-07,Safran ,Coffee Maker
400-1907-08,Safran ,Coffee Maker
400-1935-01,Safran ,Microwave Oven 
400-1962-01,Safran ,Oven Control Module
400-1962-02,Safran ,Oven Control Module
400-2095-01-L,Safran ,Convection Oven
400-2095-01-R,Safran ,Convection Oven
400-2196-01,Safran ,Microwave Oven
400220-1,Adams Rite,Manual Selector Valve
400220-11,Adams Rite,Selector Valve Assembly
400220-13,Adams Rite,Selector Valve Assembly
400220-15,Adams Rite,Selector Valve Assembly
400220-17,Adams Rite,Selector Valve Assembly
400220-19,Adams Rite,Selector Valve Assembly
400220-2,Adams Rite,Manual Selector Valve
400220-3,Adams Rite,Manual Selector Valve
400220-4,Adams Rite,Manual Selector Valve
400220-5,Adams Rite,Selector Valve Assembly
400-2473-01-L,Safran ,Microwave Oven
400-2473-01-R,Safran ,Microwave Oven
400-2473-02-L,Safran ,Microwave Oven
400-2473-02-R,Safran ,Microwave Oven
400-2475-01,Safran ,Coffee Maker
405-0001-1,Collins Aerospace ,Coffee Maker
405-0001-3,Collins Aerospace ,Coffee Maker
405-0001-5,Collins Aerospace ,Coffee Maker
409-0001-1,Collins Aerospace ,Coffee Maker
